OPERADOR,ORIGEN,DESTINO,FECHA,LLEGAN,SALEN,TOTAL
LATAM AIRLINES GROUP,SANTIAGO,IQUIQUE,01-2022,29.493,30.416,59.909
LATAM AIRLINES GROUP,SANTIAGO,ANTOFAGASTA,01-2022,26.703,27.961,54.664
LATAM AIRLINES GROUP,SANTIAGO,PUERTO MONTT,01-2022,24.418,27.071,51.489
LATAM AIRLINES GROUP,SANTIAGO,PUNTA ARENAS,01-2022,22.957,19.620,42.577
LATAM AIRLINES GROUP,SANTIAGO,TEMUCO,01-2022,15.051,15.548,30.599
LATAM AIRLINES GROUP,SANTIAGO,CONCEPCION,01-2022,13.812,13.007,26.819
LATAM AIRLINES GROUP,SANTIAGO,CALAMA,01-2022,10.772,12.884,23.656
LATAM AIRLINES GROUP,SANTIAGO,ARICA,01-2022,10.872,10.413,21.285
LATAM AIRLINES GROUP,SANTIAGO,COPIAPO,01-2022,9.505,9.214,18.719
LATAM AIRLINES GROUP,SANTIAGO,LA SERENA,01-2022,8.290,8.480,16.770
LATAM AIRLINES GROUP,SANTIAGO,BALMACEDA,01-2022,5.593,6.375,11.968
LATAM AIRLINES GROUP,IQUIQUE,CONCEPCION,01-2022,5.400,5.085,10.485
LATAM AIRLINES GROUP,SANTIAGO,CASTRO,01-2022,4.005,4.266,8.271
LATAM AIRLINES GROUP,SANTIAGO,PUERTO NATALES,01-2022,3.596,3.489,7.085
LATAM AIRLINES GROUP,PUERTO MONTT,PUNTA ARENAS,01-2022,3.494,2.600,6.094
LATAM AIRLINES GROUP,SANTIAGO,OSORNO,01-2022,2.290,2.372,4.662
LATAM AIRLINES GROUP,ANTOFAGASTA,CONCEPCION,01-2022,2.162,1.748,3.910
LATAM AIRLINES GROUP,SANTIAGO,VALDIVIA,01-2022,1.869,1.890,3.759
LATAM AIRLINES GROUP,CONCEPCION,PUNTA ARENAS,01-2022,999,961,1.960
LATAM AIRLINES GROUP,PUERTO MONTT,BALMACEDA,01-2022,614,685,1.299
LATAM AIRLINES GROUP,CALAMA,LA SERENA,01-2022,275,619,894
LATAM AIRLINES GROUP,CONCEPCION,CALAMA,01-2022,182,174,356
LATAM AIRLINES GROUP,SANTIAGO,ISLA DE PASCUA,01-2022,116,53,169
LATAM AIRLINES GROUP,ANTOFAGASTA,LA SERENA,01-2022,0,0,0
LATAM AIRLINES GROUP,ANTOFAGASTA,CALAMA,01-2022,0,0,0
LATAM AIRLINES CHILE,SANTIAGO,CALAMA,01-2022,27.281,25.624,52.905
LATAM AIRLINES CHILE,SANTIAGO,PUERTO MONTT,01-2022,19.684,21.790,41.474
LATAM AIRLINES CHILE,SANTIAGO,CONCEPCION,01-2022,18.738,20.019,38.757
LATAM AIRLINES CHILE,SANTIAGO,ANTOFAGASTA,01-2022,17.867,15.565,33.432
LATAM AIRLINES CHILE,SANTIAGO,LA SERENA,01-2022,15.695,15.950,31.645
LATAM AIRLINES CHILE,SANTIAGO,TEMUCO,01-2022,14.814,15.667,30.481
LATAM AIRLINES CHILE,SANTIAGO,IQUIQUE,01-2022,14.580,11.385,25.965
LATAM AIRLINES CHILE,SANTIAGO,PUNTA ARENAS,01-2022,11.169,11.746,22.915
LATAM AIRLINES CHILE,SANTIAGO,BALMACEDA,01-2022,9.497,10.470,19.967
LATAM AIRLINES CHILE,SANTIAGO,ARICA,01-2022,9.449,8.530,17.979
LATAM AIRLINES CHILE,SANTIAGO,COPIAPO,01-2022,7.357,7.691,15.048
LATAM AIRLINES CHILE,SANTIAGO,VALDIVIA,01-2022,7.443,7.588,15.031
LATAM AIRLINES CHILE,PUERTO MONTT,PUNTA ARENAS,01-2022,4.536,4.020,8.556
LATAM AIRLINES CHILE,PUERTO MONTT,BALMACEDA,01-2022,3.664,3.682,7.346
LATAM AIRLINES CHILE,SANTIAGO,CASTRO,01-2022,1.956,2.372,4.328
LATAM AIRLINES CHILE,SANTIAGO,OSORNO,01-2022,1.780,1.770,3.550
LATAM AIRLINES CHILE,ANTOFAGASTA,LA SERENA,01-2022,422,823,1.245
SKY AIRLINE,SANTIAGO,IQUIQUE,01-2022,18.804,17.082,35.886
SKY AIRLINE,SANTIAGO,ANTOFAGASTA,01-2022,15.892,15.964,31.856
SKY AIRLINE,SANTIAGO,PUERTO MONTT,01-2022,13.150,13.715,26.865
SKY AIRLINE,SANTIAGO,LA SERENA,01-2022,12.789,13.295,26.084
SKY AIRLINE,SANTIAGO,CALAMA,01-2022,12.551,12.429,24.980
SKY AIRLINE,SANTIAGO,TEMUCO,01-2022,10.695,11.297,21.992
SKY AIRLINE,SANTIAGO,ARICA,01-2022,10771,10364,21135
SKY AIRLINE,SANTIAGO,OSORNO,01-2022,10178,10895,21073
SKY AIRLINE,SANTIAGO,VALDIVIA,01-2022,10171,10733,20904
SKY AIRLINE,SANTIAGO,COPIAPO,01-2022,8869,9166,18035
SKY AIRLINE,SANTIAGO,CONCEPCION,01-2022,8045,8461,16506
SKY AIRLINE,PUERTO MONTT,BALMACEDA,01-2022,7196,6901,14097
SKY AIRLINE,SANTIAGO,BALMACEDA,01-2022,5687,5955,11642
SKY AIRLINE,ANTOFAGASTA,LA SERENA,01-2022,4.508,5.052,9.560
SKY AIRLINE,PUERTO MONTT,PUNTA ARENAS,01-2022,4449,3791,8240
SKY AIRLINE,SANTIAGO,PUNTA ARENAS,01-2022,3.642,3.637,7.279
SKY AIRLINE,IQUIQUE,LA SERENA,01-2022,3.106,2.882,5.988
SKY AIRLINE,CALAMA,LA SERENA,01-2022,2.946,2.526,5.472
SKY AIRLINE,SANTIAGO,PUERTO NATALES,01-2022,2.477,2.737,5.214
SKY AIRLINE,PUERTO MONTT,PUERTO NATALES,01-2022,2.571,2.272,4.843
SKY AIRLINE,IQUIQUE,CONCEPCION,01-2022,459,311,770
SKY AIRLINE,CONCEPCION,CALAMA,01-2022,0,0,0
SKY AIRLINE,ANTOFAGASTA,CALAMA,01-2022,0,0,0
SKY AIRLINE,COPIAPO,LA SERENA,01-2022,0,0,0
SKY AIRLINE,TEMUCO,VALDIVIA,01-2022,0,0,0
JETSMART SPA,SANTIAGO,ANTOFAGASTA,01-2022,10.056,9.637,19.693
JETSMART SPA,SANTIAGO,PUERTO MONTT,01-2022,7.527,8.053,15.580
JETSMART SPA,SANTIAGO,CALAMA,01-2022,7.747,7.728,15.475
JETSMART SPA,CALAMA,LA SERENA,01-2022,6.414,6.800,13.214
JETSMART SPA,SANTIAGO,IQUIQUE,01-2022,5.627,5.760,11.387
JETSMART SPA,ANTOFAGASTA,LA SERENA,01-2022,5.583,5.639,11.222
JETSMART SPA,CONCEPCION,CALAMA,01-2022,5.545,5.611,11.156
JETSMART SPA,ANTOFAGASTA,CONCEPCION,01-2022,5.211,5.612,10.823
JETSMART SPA,SANTIAGO,PUNTA ARENAS,01-2022,5.157,5.382,10.539
JETSMART SPA,SANTIAGO,TEMUCO,01-2022,4.716,4.548,9.264
JETSMART SPA,SANTIAGO,CONCEPCION,01-2022,4.673,4.247,8.920
JETSMART SPA,SANTIAGO,ARICA,01-2022,3.729,3.310,7.039
JETSMART SPA,SANTIAGO,LA SERENA,01-2022,3.507,3.507,7.014
JETSMART SPA,IQUIQUE,LA SERENA,01-2022,2.935,3.190,6.125
JETSMART SPA,SANTIAGO,VALDIVIA,01-2022,2.803,2.983,5.786
JETSMART SPA,IQUIQUE,CONCEPCION,01-2022,2.653,2.807,5.460
JETSMART SPA,SANTIAGO,COPIAPO,01-2022,2.139,2.147,4.286
JETSMART SPA,SANTIAGO,BALMACEDA,01-2022,1.800,2.211,4.011
JETSMART SPA,ARICA,LA SERENA,01-2022,1.668,1.808,3.476
JETSMART SPA,TEMUCO,PUNTA ARENAS,01-2022,1.762,1.430,3.192
JETSMART SPA,SANTIAGO,CASTRO,01-2022,1.585,1.574,3.159
JETSMART SPA,SANTIAGO,PUERTO NATALES,01-2022,1.442,1.481,2.923
JETSMART SPA,PUERTO MONTT,PUNTA ARENAS,01-2022,1.461,1.178,2.639
JETSMART SPA,TEMUCO,BALMACEDA,01-2022,1236,1172,2408
JETSMART SPA,CONCEPCION,PUNTA ARENAS,01-2022,1.206,1.080,2.286
JETSMART SPA,CONCEPCION,BALMACEDA,01-2022,923,966,1.889
JETSMART SPA,CONCEPCION,PUERTO MONTT,01-2022,913,890,1.803
JETSMART SPA,PUNTA ARENAS,CASTRO,01-2022,719,966,1.685
JETSMART SPA,ARICA,CONCEPCION,01-2022,781,841,1622
JETSMART SPA,PUERTO MONTT,BALMACEDA,01-2022,750,782,1.532
JETSMART SPA,CONCEPCION,LA SERENA,01-2022,0,0,0
JETSMART SPA,ANTOFAGASTA,TEMUCO,01-2022,0,0,0
JETSMART SPA,CONCEPCION,CASTRO,01-2022,0,0,0
JETSMART SPA,PUERTO MONTT,PUERTO NATALES,01-2022,0,0,0
JETSMART SPA,TEMUCO,CASTRO,01-2022,0,0,0
JETSMART SPA,ARICA,ANTOFAGASTA,01-2022,0,0,0
JETSMART SPA,ANTOFAGASTA,IQUIQUE,01-2022,0,0,0
JETSMART SPA,ANTOFAGASTA,PUERTO MONTT,01-2022,0,0,0
JETSMART SPA,CONCEPCION,PUERTO NATALES,01-2022,0,0,0
AEROVIAS D.A.P.,SANTIAGO,EL SALVADOR,01-2022,1.218,1.472,2.690
AEROVIAS D.A.P.,PUNTA ARENAS,PUERTO WILLIAMS,01-2022,1.259,1.214,2.473
AEROVIAS D.A.P.,SANTIAGO,PICA,01-2022,633,684,1.317
AEROVIAS D.A.P.,BALMACEDA,PUNTA ARENAS,01-2022,578,551,1.129
AEROVIAS D.A.P.,PUNTA ARENAS,ANTARTICA CHIL.,01-2022,560,545,1.105
AEROVIAS D.A.P.,LA SERENA,PICA,01-2022,291,409,700
AEROVIAS D.A.P.,SANTIAGO,COPIAPO,01-2022,343,310,653
AEROVIAS D.A.P.,PUNTA ARENAS,PORVENIR,01-2022,326,283,609
AEROVIAS D.A.P.,SANTIAGO,PUERTO WILLIAMS,01-2022,136,203,339
AEROVIAS D.A.P.,SANTIAGO,CONCEPCION,01-2022,42,107,149
AEROVIAS D.A.P.,PUNTA ARENAS,BAHIA INUTIL,01-2022,61,39,100
AEROVIAS D.A.P.,SANTIAGO,LA SERENA,01-2022,0,75,75
AEROVIAS D.A.P.,IQUIQUE,PICA,01-2022,48,0,48
AEROVIAS D.A.P.,SANTIAGO,PUNTA ARENAS,01-2022,46,0,46
AEROVIAS D.A.P.,IQUIQUE,LA SERENA,01-2022,0,17,17
AEROVIAS D.A.P.,SANTIAGO,IQUIQUE,01-2022,14,0,14
AEROVIAS D.A.P.,PUERTO NATALES,COCHRANE,01-2022,2,5,7
AEROVIAS D.A.P.,PUNTA ARENAS,PUERTO NATALES,01-2022,2,2,4
AEROVIAS D.A.P.,SANTIAGO,BALMACEDA,01-2022,4,0,4
AEROVIAS D.A.P.,SANTIAGO,PUCON,01-2022,1,1,2
AEROVIAS D.A.P.,PUERTO MONTT,PUNTA ARENAS,01-2022,0,0,0
AEROVIAS D.A.P.,SANTIAGO,CALAMA,01-2022,0,0,0
AEROVIAS D.A.P.,SANTIAGO,ANTOFAGASTA,01-2022,0,0,0
AEROVIAS D.A.P.,PUERTO NATALES,ANTARTICA CHIL.,01-2022,0,0,0
AEROVIAS D.A.P.,PUERTO WILLIAMS,ANTARTICA CHIL.,01-2022,0,0,0
ONE SPA,SANTIAGO,IQUIQUE,01-2022,0,0,0
ONE SPA,SANTIAGO,COPIAPO,01-2022,0,0,0
ONE SPA,SANTIAGO,CALAMA,01-2022,0,0,0
LATAM AIRLINES GROUP,SANTIAGO,IQUIQUE,02-2022,29.478,31.635,61.113
LATAM AIRLINES GROUP,SANTIAGO,ANTOFAGASTA,02-2022,22.669,25.480,48.149
LATAM AIRLINES GROUP,SANTIAGO,PUERTO MONTT,02-2022,23.452,22.072,45.524
LATAM AIRLINES GROUP,SANTIAGO,PUNTA ARENAS,02-2022,21.546,22.132,43.678
LATAM AIRLINES GROUP,SANTIAGO,TEMUCO,02-2022,14.092,14.087,28.179
LATAM AIRLINES GROUP,SANTIAGO,CALAMA,02-2022,10.927,10.626,21.553
LATAM AIRLINES GROUP,SANTIAGO,CONCEPCION,02-2022,8.471,7.732,16.203
LATAM AIRLINES GROUP,SANTIAGO,ARICA,02-2022,9.722,9.376,19.098
LATAM AIRLINES GROUP,SANTIAGO,COPIAPO,02-2022,8.956,8.044,17.000
LATAM AIRLINES GROUP,SANTIAGO,LA SERENA,02-2022,7.562,7.579,15.141
LATAM AIRLINES GROUP,SANTIAGO,BALMACEDA,02-2022,7.417,7.497,14.914
LATAM AIRLINES GROUP,SANTIAGO,CASTRO,02-2022,6.986,6.358,13.344
LATAM AIRLINES GROUP,IQUIQUE,CONCEPCION,02-2022,5.694,5.246,10.940
LATAM AIRLINES GROUP,SANTIAGO,PUERTO NATALES,02-2022,3.307,3.203,6.510
LATAM AIRLINES GROUP,PUERTO MONTT,PUNTA ARENAS,02-2022,2.981,3.076,6.057
LATAM AIRLINES GROUP,SANTIAGO,VALDIVIA,02-2022,2.954,2.366,5.320
LATAM AIRLINES GROUP,SANTIAGO,OSORNO,02-2022,2.205,2.075,4.280
LATAM AIRLINES GROUP,ANTOFAGASTA,CONCEPCION,02-2022,1.880,1.723,3.603
LATAM AIRLINES GROUP,CONCEPCION,PUNTA ARENAS,02-2022,1.076,1.217,2.293
LATAM AIRLINES GROUP,PUERTO MONTT,BALMACEDA,02-2022,864,759,1.623
LATAM AIRLINES GROUP,CALAMA,LA SERENA,02-2022,357,470,827
LATAM AIRLINES GROUP,CONCEPCION,CALAMA,02-2022,152,176,328
LATAM AIRLINES GROUP,SANTIAGO,ISLA DE PASCUA,02-2022,90,35,125
LATAM AIRLINES GROUP,ANTOFAGASTA,LA SERENA,02-2022,0,0,0
LATAM AIRLINES GROUP,PUNTA ARENAS,PUERTO NATALES,02-2022,,,
LATAM AIRLINES CHILE,SANTIAGO,CALAMA,02-2022,23.826,24.402,48.228
LATAM AIRLINES CHILE,SANTIAGO,PUERTO MONTT,02-2022,20.728,21.826,42.554
LATAM AIRLINES CHILE,SANTIAGO,CONCEPCION,02-2022,20.023,21.706,41.729
LATAM AIRLINES CHILE,SANTIAGO,ANTOFAGASTA,02-2022,16.436,14.375,30.811
LATAM AIRLINES CHILE,SANTIAGO,LA SERENA,02-2022,14.500,14.681,29.181
LATAM AIRLINES CHILE,SANTIAGO,TEMUCO,02-2022,14.742,14.141,28.883
LATAM AIRLINES CHILE,SANTIAGO,IQUIQUE,02-2022,11.467,9.062,20.529
LATAM AIRLINES CHILE,SANTIAGO,PUNTA ARENAS,02-2022,11.075,11.441,22.516
LATAM AIRLINES CHILE,SANTIAGO,ARICA,02-2022,10.917,9.875,20.792
LATAM AIRLINES CHILE,SANTIAGO,BALMACEDA,02-2022,9.702,8.864,18.566
LATAM AIRLINES CHILE,SANTIAGO,COPIAPO,02-2022,6.636,6.932,13.568
LATAM AIRLINES CHILE,SANTIAGO,VALDIVIA,02-2022,6.094,6.427,12.521
LATAM AIRLINES CHILE,PUERTO MONTT,PUNTA ARENAS,02-2022,4.522,5.197,9.719
LATAM AIRLINES CHILE,PUERTO MONTT,BALMACEDA,02-2022,2.895,3.217,6.112
LATAM AIRLINES CHILE,SANTIAGO,OSORNO,02-2022,1.693,1.624,3.317
LATAM AIRLINES CHILE,SANTIAGO,CASTRO,02-2022,,,
LATAM AIRLINES CHILE,ANTOFAGASTA,LA SERENA,02-2022,546,493,1.039
LATAM AIRLINES CHILE,CALAMA,COPIAPO,02-2022,,,
SKY AIRLINE,SANTIAGO,IQUIQUE,02-2022,16.122,14.394,30.516
SKY AIRLINE,SANTIAGO,ANTOFAGASTA,02-2022,13.143,13.210,26.353
SKY AIRLINE,SANTIAGO,PUERTO MONTT,02-2022,13.134,12.172,25.306
SKY AIRLINE,SANTIAGO,LA SERENA,02-2022,11.149,11.117,22.266
SKY AIRLINE,SANTIAGO,CALAMA,02-2022,10.432,10.255,20.687
SKY AIRLINE,SANTIAGO,TEMUCO,02-2022,10412,10438,20850
SKY AIRLINE,SANTIAGO,VALDIVIA,02-2022,9351,9309,18660
SKY AIRLINE,SANTIAGO,OSORNO,02-2022,9226,8713,17939
SKY AIRLINE,SANTIAGO,ARICA,02-2022,8835,8636,17471
SKY AIRLINE,SANTIAGO,COPIAPO,02-2022,8570,8744,17314
SKY AIRLINE,SANTIAGO,CONCEPCION,02-2022,7923,7831,15754
SKY AIRLINE,PUERTO MONTT,BALMACEDA,02-2022,7272,6965,14237
SKY AIRLINE,SANTIAGO,BALMACEDA,02-2022,6.489,5.894,12.383
SKY AIRLINE,ANTOFAGASTA,LA SERENA,02-2022,4502,4595,9097
SKY AIRLINE,PUERTO MONTT,PUNTA ARENAS,02-2022,3.605,4.004,7.609
SKY AIRLINE,SANTIAGO,PUNTA ARENAS,02-2022,2.684,2.542,5.226
SKY AIRLINE,IQUIQUE,LA SERENA,02-2022,2.457,2.727,5.184
SKY AIRLINE,SANTIAGO,PUERTO NATALES,02-2022,2.590,2.813,5.403
SKY AIRLINE,PUERTO MONTT,PUERTO NATALES,02-2022,2.809,2.639,5.448
SKY AIRLINE,CALAMA,LA SERENA,02-2022,2.337,1.628,3.965
SKY AIRLINE,IQUIQUE,CONCEPCION,02-2022,490,292,782
SKY AIRLINE,COPIAPO,CONCEPCION,02-2022,260,238,498
SKY AIRLINE,ANTOFAGASTA,IQUIQUE,02-2022,165,0,165
SKY AIRLINE,CONCEPCION,CALAMA,02-2022,0,0,0
SKY AIRLINE,ARICA,IQUIQUE,02-2022,0,0,0
SKY AIRLINE,ANTOFAGASTA,CALAMA,02-2022,,,
SKY AIRLINE,COPIAPO,LA SERENA,02-2022,,,
SKY AIRLINE,TEMUCO,VALDIVIA,02-2022,,,
JETSMART SPA,SANTIAGO,ANTOFAGASTA,02-2022,9.530,9.512,19.042
JETSMART SPA,SANTIAGO,PUERTO MONTT,02-2022,7.979,7.382,15.361
JETSMART SPA,SANTIAGO,CALAMA,02-2022,7.880,7.439,15.319
JETSMART SPA,CALAMA,LA SERENA,02-2022,7.272,7.085,14.357
JETSMART SPA,SANTIAGO,IQUIQUE,02-2022,6.693,6.754,13.447
JETSMART SPA,ANTOFAGASTA,LA SERENA,02-2022,5.637,5.220,10.857
JETSMART SPA,CONCEPCION,CALAMA,02-2022,5.262,5.557,10.819
JETSMART SPA,ANTOFAGASTA,CONCEPCION,02-2022,5.392,5.197,10.589
JETSMART SPA,SANTIAGO,PUNTA ARENAS,02-2022,5.042,5.638,10.680
JETSMART SPA,SANTIAGO,TEMUCO,02-2022,4.967,4.959,9.926
JETSMART SPA,SANTIAGO,CONCEPCION,02-2022,4.400,4.267,8.667
JETSMART SPA,SANTIAGO,ARICA,02-2022,4.556,4.208,8.764
JETSMART SPA,SANTIAGO,LA SERENA,02-2022,4.455,4.159,8.614
JETSMART SPA,IQUIQUE,LA SERENA,02-2022,3.645,3.579,7.224
JETSMART SPA,SANTIAGO,VALDIVIA,02-2022,3.031,3.061,6.092
JETSMART SPA,IQUIQUE,CONCEPCION,02-2022,2.883,2.742,5.625
JETSMART SPA,SANTIAGO,COPIAPO,02-2022,2.096,2.108,4.204
JETSMART SPA,SANTIAGO,BALMACEDA,02-2022,2.382,2.084,4.466
JETSMART SPA,ARICA,LA SERENA,02-2022,1.724,1.748,3.472
JETSMART SPA,SANTIAGO,CASTRO,02-2022,1633,1479,3112
JETSMART SPA,TEMUCO,PUNTA ARENAS,02-2022,1.473,1.600,3.073
JETSMART SPA,SANTIAGO,PUERTO NATALES,02-2022,1.204,1.142,2.346
JETSMART SPA,PUERTO MONTT,PUNTA ARENAS,02-2022,1.387,1.216,2.603
JETSMART SPA,TEMUCO,BALMACEDA,02-2022,860,1.041,1.901
JETSMART SPA,CONCEPCION,PUNTA ARENAS,02-2022,848,863,1711
JETSMART SPA,CONCEPCION,BALMACEDA,02-2022,899,980,1.879
JETSMART SPA,PUERTO MONTT,BALMACEDA,02-2022,1.259,949,2.208
JETSMART SPA,CONCEPCION,PUERTO MONTT,02-2022,951,805,1.756
JETSMART SPA,PUNTA ARENAS,CASTRO,02-2022,893,980,1.873
JETSMART SPA,ARICA,CONCEPCION,02-2022,837,812,1.649
JETSMART SPA,CONCEPCION,LA SERENA,02-2022,0,0,0
JETSMART SPA,ANTOFAGASTA,TEMUCO,02-2022,0,0,0
JETSMART SPA,CONCEPCION,CASTRO,02-2022,0,0,0
JETSMART SPA,PUERTO MONTT,PUERTO NATALES,02-2022,0,0,0
JETSMART SPA,ARICA,ANTOFAGASTA,02-2022,0,0,0
JETSMART SPA,TEMUCO,CASTRO,02-2022,0,0,0
JETSMART SPA,ANTOFAGASTA,IQUIQUE,02-2022,0,0,0
JETSMART SPA,PUERTO MONTT,TEMUCO,02-2022,0,0,0
JETSMART SPA,BALMACEDA,PUNTA ARENAS,02-2022,0,0,0
JETSMART SPA,ARICA,CALAMA,02-2022,0,0,0
JETSMART SPA,CALAMA,COPIAPO,02-2022,,,
AEROVIAS D.A.P.,SANTIAGO,EL SALVADOR,02-2022,1.187,1.362,2.549
AEROVIAS D.A.P.,PUNTA ARENAS,PUERTO WILLIAMS,02-2022,1.278,1.329,2.607
AEROVIAS D.A.P.,SANTIAGO,PICA,02-2022,622,610,1.232
AEROVIAS D.A.P.,BALMACEDA,PUNTA ARENAS,02-2022,606,604,1.210
AEROVIAS D.A.P.,PUNTA ARENAS,ANTARTICA CHIL.,02-2022,651,528,1.179
AEROVIAS D.A.P.,SANTIAGO,COPIAPO,02-2022,375,287,662
AEROVIAS D.A.P.,LA SERENA,PICA,02-2022,252,360,612
AEROVIAS D.A.P.,PUNTA ARENAS,PORVENIR,02-2022,297,230,527
AEROVIAS D.A.P.,SANTIAGO,PUERTO WILLIAMS,02-2022,178,226,404
AEROVIAS D.A.P.,SANTIAGO,CONCEPCION,02-2022,43,43,86
AEROVIAS D.A.P.,SANTIAGO,LA SERENA,02-2022,0,111,111
AEROVIAS D.A.P.,IQUIQUE,PICA,02-2022,129,0,129
AEROVIAS D.A.P.,PUNTA ARENAS,BAHIA INUTIL,02-2022,39,34,73
AEROVIAS D.A.P.,SANTIAGO,PUNTA ARENAS,02-2022,29,6,35
AEROVIAS D.A.P.,COPIAPO,EL SALVADOR,02-2022,68,0,68
AEROVIAS D.A.P.,IQUIQUE,LA SERENA,02-2022,0,23,23
AEROVIAS D.A.P.,SANTIAGO,IQUIQUE,02-2022,8,0,8
AEROVIAS D.A.P.,PUERTO WILLIAMS,ANTARTICA CHIL.,02-2022,0,19,19
AEROVIAS D.A.P.,PUERTO NATALES,COCHRANE,02-2022,9,0,9
AEROVIAS D.A.P.,PUNTA ARENAS,PUERTO NATALES,02-2022,0,0,0
AEROVIAS D.A.P.,SANTIAGO,BALMACEDA,02-2022,,,
AEROVIAS D.A.P.,SANTIAGO,PUCON,02-2022,,,
AEROVIAS D.A.P.,PUERTO MONTT,PUNTA ARENAS,02-2022,0,0,0
AEROVIAS D.A.P.,SANTIAGO,CALAMA,02-2022,0,0,0
AEROVIAS D.A.P.,SANTIAGO,ANTOFAGASTA,02-2022,,,
AEROVIAS D.A.P.,SANTIAGO,TEMUCO,02-2022,0,0,0
AEROVIAS D.A.P.,ARICA,IQUIQUE,02-2022,0,0,0
AEROVIAS D.A.P.,ARICA,PICA,02-2022,0,0,0
AEROVIAS D.A.P.,PUERTO NATALES,SOBREVUELO,02-2022,,,
AEROVIAS D.A.P.,PUNTA ARENAS,SOBREVUELO,02-2022,,,
ONE SPA,SANTIAGO,CALAMA,02-2022,0,0,0
ONE SPA,SANTIAGO,IQUIQUE,02-2022,,,
LATAM AIRLINES GROUP,SANTIAGO,IQUIQUE,03-2022,35430,36075,71505
LATAM AIRLINES GROUP,SANTIAGO,ANTOFAGASTA,03-2022,24034,25673,49707
LATAM AIRLINES GROUP,SANTIAGO,PUERTO MONTT,03-2022,23265,22553,45818
LATAM AIRLINES GROUP,SANTIAGO,PUNTA ARENAS,03-2022,20321,22554,42875
LATAM AIRLINES GROUP,SANTIAGO,TEMUCO,03-2022,22822,21926,44748
LATAM AIRLINES GROUP,SANTIAGO,CALAMA,03-2022,18920,19509,38429
LATAM AIRLINES GROUP,SANTIAGO,CONCEPCION,03-2022,12881,13531,26412
LATAM AIRLINES GROUP,SANTIAGO,ARICA,03-2022,13112,13131,26243
LATAM AIRLINES GROUP,SANTIAGO,LA SERENA,03-2022,16482,15065,31547
LATAM AIRLINES GROUP,SANTIAGO,COPIAPO,03-2022,13768,13287,27055
LATAM AIRLINES GROUP,SANTIAGO,BALMACEDA,03-2022,10263,6926,17189
LATAM AIRLINES GROUP,IQUIQUE,CONCEPCION,03-2022,7075,6918,13993
LATAM AIRLINES GROUP,SANTIAGO,CASTRO,03-2022,329,292,621
LATAM AIRLINES GROUP,SANTIAGO,VALDIVIA,03-2022,5729,5424,11153
LATAM AIRLINES GROUP,SANTIAGO,PUERTO NATALES,03-2022,1512,1417,2929
LATAM AIRLINES GROUP,PUERTO MONTT,PUNTA ARENAS,03-2022,1314,857,2171
LATAM AIRLINES GROUP,SANTIAGO,OSORNO,03-2022,2274,1883,4157
LATAM AIRLINES GROUP,ANTOFAGASTA,CONCEPCION,03-2022,1564,1561,3125
LATAM AIRLINES GROUP,CONCEPCION,PUNTA ARENAS,03-2022,710,1089,1799
LATAM AIRLINES GROUP,PUERTO MONTT,BALMACEDA,03-2022,438,1444,1882
LATAM AIRLINES GROUP,CALAMA,LA SERENA,03-2022,230,372,602
LATAM AIRLINES GROUP,CONCEPCION,CALAMA,03-2022,327,321,648
LATAM AIRLINES GROUP,SANTIAGO,ISLA DE PASCUA,03-2022,408,336,744
LATAM AIRLINES GROUP,ANTOFAGASTA,LA SERENA,03-2022,27,91,118
LATAM AIRLINES GROUP,PUNTA ARENAS,PUERTO NATALES,03-2022,,,
LATAM AIRLINES CHILE,SANTIAGO,CALAMA,03-2022,16254,16564,32818
LATAM AIRLINES CHILE,SANTIAGO,CONCEPCION,03-2022,19292,19297,38589
LATAM AIRLINES CHILE,SANTIAGO,PUERTO MONTT,03-2022,12251,10907,23158
LATAM AIRLINES CHILE,SANTIAGO,ANTOFAGASTA,03-2022,15985,14768,30753
LATAM AIRLINES CHILE,SANTIAGO,LA SERENA,03-2022,517,1615,2132
LATAM AIRLINES CHILE,SANTIAGO,TEMUCO,03-2022,670,623,1293
LATAM AIRLINES CHILE,SANTIAGO,PUNTA ARENAS,03-2022,4092,3014,7106
LATAM AIRLINES CHILE,SANTIAGO,IQUIQUE,03-2022,958,748,1706
LATAM AIRLINES CHILE,SANTIAGO,BALMACEDA,03-2022,1378,2873,4251
LATAM AIRLINES CHILE,SANTIAGO,ARICA,03-2022,0,0,0
LATAM AIRLINES CHILE,SANTIAGO,COPIAPO,03-2022,1578,2122,3700
LATAM AIRLINES CHILE,SANTIAGO,VALDIVIA,03-2022,0,0,0
LATAM AIRLINES CHILE,PUERTO MONTT,PUNTA ARENAS,03-2022,2648,4390,7038
LATAM AIRLINES CHILE,PUERTO MONTT,BALMACEDA,03-2022,1656,369,2025
LATAM AIRLINES CHILE,SANTIAGO,CASTRO,03-2022,4197,3569,7766
LATAM AIRLINES CHILE,SANTIAGO,OSORNO,03-2022,0,0,0
LATAM AIRLINES CHILE,ANTOFAGASTA,LA SERENA,03-2022,380,158,538
LATAM AIRLINES CHILE,ANTOFAGASTA,CONCEPCION,03-2022,484,222,706
LATAM AIRLINES CHILE,CALAMA,LA SERENA,03-2022,147,0,147
LATAM AIRLINES CHILE,CALAMA,COPIAPO,03-2022,,,
SKY AIRLINE,SANTIAGO,IQUIQUE,03-2022,15297,13663,28960
